,Repetition_1,Repetition_2,Repetition_3
cpu_usage_percent_avg,0.5,0.5,0.6
cpu_usage_percent_max,0.5,0.5,0.6
cpu_usage_percent_p95,0.5,0.5,0.6
disk_read_mbps_avg,0.0,0.0,0.0
disk_write_mbps_avg,0.0,0.0,0.0
memory_usage_percent_avg,10.7,10.8,10.9
memory_usage_percent_max,10.7,10.8,10.9
network_recv_mbps_avg,0.0,0.0,0.0
network_sent_mbps_avg,0.0,0.0,0.0
perf_branch_misses_avg,100.0,100.0,100.0
perf_branch_misses_total,200.0,100.0,100.0
perf_branches_avg,100.0,100.0,100.0
perf_branches_total,200.0,100.0,100.0
perf_cache_miss_rate_avg,100.0,100.0,100.0
perf_cache_misses_avg,100.0,100.0,100.0
perf_cache_misses_total,200.0,100.0,100.0
perf_cache_references_avg,100.0,100.0,100.0
perf_cache_references_total,200.0,100.0,100.0
perf_cpu_cycles_avg,100.0,100.0,100.0
perf_cpu_cycles_total,200.0,100.0,100.0
perf_instructions_avg,100.0,100.0,100.0
perf_instructions_total,200.0,100.0,100.0
perf_ipc_avg,1.0,1.0,1.0
