,Repetition_1,Repetition_2,Repetition_3
cpu_usage_percent_avg,12.673333333333334,12.684999999999999,12.594999999999997
cpu_usage_percent_max,15.7,17.9,15.6
cpu_usage_percent_p95,13.61,13.504999999999999,13.204999999999998
disk_read_mbps_avg,0.0,0.002113516426190486,0.00046251900736397076
disk_write_mbps_avg,51.73525414939196,17.291470451324187,86.32177242036732
memory_usage_percent_avg,21.264999999999997,21.873333333333335,21.47666666666667
memory_usage_percent_max,25.3,25.2,24.9
network_recv_mbps_avg,0.0,0.0,0.0
network_sent_mbps_avg,0.0,0.0,0.0
perf_branch_misses_avg,100.0,100.0,100.0
perf_branch_misses_total,6000.0,6000.0,6000.0
perf_branches_avg,100.0,100.0,100.0
perf_branches_total,6000.0,6000.0,6000.0
perf_cache_miss_rate_avg,100.0,100.0,100.0
perf_cache_misses_avg,100.0,100.0,100.0
perf_cache_misses_total,6000.0,6000.0,6000.0
perf_cache_references_avg,100.0,100.0,100.0
perf_cache_references_total,6000.0,6000.0,6000.0
perf_cpu_cycles_avg,100.0,100.0,100.0
perf_cpu_cycles_total,6000.0,6000.0,6000.0
perf_instructions_avg,100.0,100.0,100.0
perf_instructions_total,6000.0,6000.0,6000.0
perf_ipc_avg,1.0,1.0,1.0
